CATEGORY,PACK,SIZE,DESCRIPTION,BRAND,PRICE,EXPIRATION,STOCK,IMAGE
TABLET,BOX,100'S,ACICLOVIR 400MG TAB (SAPHRIVAX-400),SAPHRIVAX-400,495,11/1/2028,100,
TABLET,BOX,100's,ACICLOVIR 800MG TAB (SAPHRIVAX-800),SAPHRIVAX-800,870,11/1/2028,100,
TABLET,BOX,100's,AMLODIPINE+LOSARTAN 100MG/10MG TAB (SAPHLODINE-100,SAPHLODINE 100/10,450,11/1/2028,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
,,,,,,,,
TABLET,BOX,30's,PANTOPRAZOLE 40MG TAB (PANTOSAPH-40),PANTOSAPH-40,95,2/1/2027,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
TABLET,BOX,30's,PANTOPRAZOLE 20MG TAB (PANTOSAPH-20),PANTOSAPH-20,65,3/1/2027,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
TABLET,BOX,100's,OLANZAPINE 10MG TAB (LANZAPH),LANZAPH,850,2/2/2027,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
TABLET,BOX,30'S,RISPERIDONE 2MG TAB (RISPESAPH-2),RISPESAPH-2,145,2/1/2027,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
TABLET,BOX,30's,ROSUVASTATIN 20MG TAB (ROSUSAPH-20),ROSUSAPH-20,210,10/1/2028,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
TABLET,BOX,30's,PANTOPRAZOLE 40MG TAB (PANTOSAPH-40),PANTOSAPH-40,95,2/1/2027,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
TABLET,BOX,100's,METHYLPREDNISOLONE 16MG TAB (METHYLPREDSAPH),METHYLPREDSAPH,450,6/1/2028,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
CAPSULE,BOX,100'S,AMOXICILLIN 500MG CAP (SAPHMOX-500),SAPHMOX 500,115,7/1/2028,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
NEBULE,BOX,30'S,BUDESONIDE 250MCG/ML (500MCG/2ML) NEB. (RESPI-SAPH,RESPI-SAPH,390,12/1/2028,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
AMPULE,BOX,10's,CLINDAMYCIN 150M/ML (150MG/2ML) AMP. (CLINDOLLEN),CLINDOLLEN,750,10/1/2027,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
AMPULE,BOX,10mL,NICARDIPINE 1MG/ML AMP. (NICARSAPH),NICARSAPH,65,12/1/2028,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
TABLET,BOX,100's,APIXABAN 2.5MG TAB (SAPHBOSIS GE 2.5),SAPHBOSIS GE2.5,600,1/1/2029,100,https://drive.google.com/drive/folders/1HwW1fPBEqGbJo4d-2Z1z5QSyYcmhX8Tq
TABLET,BOX,100's,BETAHISTINE 24MG TAB (VERTISAPH-24),VERSITAPH-24,250,11/1/2028,100,https://drive.google.com/file/d/14exKorPTCnsiMfgWz1OAF7mfnxd892PP/view?usp=sharing
TABLET,BOX,100's,BUTAMERATE CITRATE 50MG TAB (SAPHMIRATE-50,SAPHMIRATE-50,550,8/1/2028,100,https://drive.google.com/file/d/1VksioNKVxyhbUfUeM35uXQ6bSqnQ-qHd/view?usp=drive_link
TABLET,BOX,30's,CANDESARTAN 16MG TAB (CANDESAPH-16),CANDESAPH 16,165,2/1/2027,100,https://drive.google.com/file/d/1sKSqz-vjaC7kB_CHdpfZVv3vB57p3_9f/view?usp=drive_link
TABLET,BOX ,10's,CEFUROXIME 500MG TAB (CEFUSAPH-500),CEFUSAPH-500,90,1/1/2029,100,https://drive.google.com/file/d/1R28_jCaFzmG7agQsveRZtJNwmKEBmdKQ/view?usp=drive_link
TABLET,BOX,30'S,CITICOLINE 1G TAB (CITISAPH-1000),CITISAPH-1000,660,2/1/2029,100,https://drive.google.com/file/d/1rYIY5CkTin00CcX-11uL-iz_jQyVrmxr/view?usp=drive_link
TABLET,BOX ,30'S,CITICOLINE 500MG TAB (CITISAPH-500),CITISAPH-500,250,12/1/2028,100,https://drive.google.com/file/d/1an7W0zZLMLm-K7RZTmnWOJRN1PnKSJj4/view?usp=drive_link
TABLET,BOX ,14'S,CO-AMOXICLAV 1G TAB (OLLEN),OLLEN,252,11/1/2027,100,https://drive.google.com/file/d/1ZpaiAb5TeHvW16WTqFlZgIBHAuU_bWP1/view?usp=drive_link
TABLET,BOX ,100'S,DAPAGLIFLOZIN 10MG TAB (DIASAPH-GE10),DIASAPH GE10,600,2/1/2029,100,https://drive.google.com/file/d/1LGSc9sNMCCk06cEot07Wk5X_JIvrZw_p/view?usp=drive_link
TABLET,BOX ,30'S,ETORICOXIB 90MG TAB (SAPHETOR),SAPHETOR 90,110,8/1/2028,100,https://drive.google.com/file/d/1MvaCuuWiszj_T0O_kSFKxHhJtrW_nPVA/view?usp=drive_link
TABLET,BOX ,30'S,ETORICOXIB 120MG TAB (SAPHETOR),SAPHETOR 120,195,8/1/2028,100,https://drive.google.com/file/d/1UHv3IqopnclHCA-PwVkxorCwY5diQvzN/view?usp=drive_link
TABLET,BOX ,30'S,FEBUXOSTAT 80MG TAB (SAPHXOSTAT-80),SAPHXOSTAT 80,175,5/1/2028,100,https://drive.google.com/file/d/1W_mQOmvTmeUYU43p9Id7g1XLyNi6VnRb/view?usp=drive_link
